attribution_id,route_id,organization_name,is_producer,is_operator,is_authority,attribution_url,attribution_email,attribution_phone
70,E8,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
71,G1,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
72,G2,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
73,G3,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
30,3,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
74,G4,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
31,4,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
75,G6,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
32,5,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
76,E5,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
33,6,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
77,F,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
34,7,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
78,FN,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
35,8,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
79,N1,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
36,9,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
37,10,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
38,E1,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
39,E3,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
100,E8,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
101,G1,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
102,G2,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
103,G3,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
104,G4,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
105,G6,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
106,E5,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
